timestamp, power.draw [W]
2025/02/16 21:29:45.341, 76.37 W
2025/02/16 21:29:45.352, 76.37 W
2025/02/16 21:29:45.362, 76.37 W
2025/02/16 21:29:45.372, 76.22 W
2025/02/16 21:29:45.382, 76.22 W
2025/02/16 21:29:45.392, 76.22 W
2025/02/16 21:29:45.402, 76.22 W
2025/02/16 21:29:45.412, 76.22 W
2025/02/16 21:29:45.422, 76.22 W
2025/02/16 21:29:45.432, 76.22 W
2025/02/16 21:29:45.442, 76.22 W
2025/02/16 21:29:45.453, 76.22 W
2025/02/16 21:29:45.463, 76.22 W
2025/02/16 21:29:45.473, 76.22 W
2025/02/16 21:29:45.483, 76.22 W
2025/02/16 21:29:45.493, 76.75 W
2025/02/16 21:29:45.503, 76.75 W
2025/02/16 21:29:45.513, 76.75 W
2025/02/16 21:29:45.523, 76.75 W
2025/02/16 21:29:45.533, 76.75 W
2025/02/16 21:29:45.543, 76.75 W
2025/02/16 21:29:45.553, 76.75 W
2025/02/16 21:29:45.563, 76.75 W
2025/02/16 21:29:45.573, 76.75 W
2025/02/16 21:29:45.583, 76.75 W
2025/02/16 21:29:45.594, 76.37 W
2025/02/16 21:29:45.604, 76.37 W
2025/02/16 21:29:45.614, 76.37 W
2025/02/16 21:29:45.624, 76.37 W
2025/02/16 21:29:45.634, 76.37 W
2025/02/16 21:29:45.644, 76.37 W
2025/02/16 21:29:45.654, 76.37 W
2025/02/16 21:29:45.664, 76.37 W
2025/02/16 21:29:45.674, 76.13 W
2025/02/16 21:29:45.684, 76.13 W
2025/02/16 21:29:45.694, 76.13 W
2025/02/16 21:29:45.704, 76.13 W
2025/02/16 21:29:45.714, 76.13 W
2025/02/16 21:29:45.725, 76.13 W
2025/02/16 21:29:45.735, 76.13 W
2025/02/16 21:29:45.745, 76.13 W
2025/02/16 21:29:45.755, 76.13 W
2025/02/16 21:29:45.765, 76.13 W
2025/02/16 21:29:45.775, 75.84 W
2025/02/16 21:29:45.785, 75.84 W
2025/02/16 21:29:45.795, 75.84 W
2025/02/16 21:29:45.805, 75.84 W
2025/02/16 21:29:45.815, 75.84 W
2025/02/16 21:29:45.825, 75.84 W
2025/02/16 21:29:45.835, 75.84 W
2025/02/16 21:29:45.845, 75.84 W
2025/02/16 21:29:45.855, 75.84 W
2025/02/16 21:29:45.866, 75.84 W
2025/02/16 21:29:45.876, 75.84 W
2025/02/16 21:29:45.886, 75.84 W
2025/02/16 21:29:45.896, 75.84 W
