timestamp, power.draw [W]
2025/02/16 16:05:47.822, 63.04 W
2025/02/16 16:05:47.832, 63.04 W
2025/02/16 16:05:47.842, 63.04 W
2025/02/16 16:05:47.852, 63.04 W
2025/02/16 16:05:47.862, 63.33 W
2025/02/16 16:05:47.872, 63.33 W
2025/02/16 16:05:47.883, 63.33 W
2025/02/16 16:05:47.893, 63.33 W
2025/02/16 16:05:47.903, 63.33 W
2025/02/16 16:05:47.913, 63.33 W
2025/02/16 16:05:47.923, 63.33 W
2025/02/16 16:05:47.933, 63.33 W
2025/02/16 16:05:47.943, 63.33 W
2025/02/16 16:05:47.953, 63.33 W
2025/02/16 16:05:47.963, 63.04 W
2025/02/16 16:05:47.973, 63.04 W
2025/02/16 16:05:47.983, 63.04 W
2025/02/16 16:05:47.993, 63.04 W
2025/02/16 16:05:48.003, 63.04 W
2025/02/16 16:05:48.013, 63.04 W
2025/02/16 16:05:48.023, 63.04 W
2025/02/16 16:05:48.033, 63.04 W
2025/02/16 16:05:48.044, 63.04 W
2025/02/16 16:05:48.054, 63.04 W
2025/02/16 16:05:48.064, 63.33 W
2025/02/16 16:05:48.074, 63.33 W
2025/02/16 16:05:48.084, 63.33 W
2025/02/16 16:05:48.094, 63.33 W
2025/02/16 16:05:48.104, 63.33 W
2025/02/16 16:05:48.114, 63.33 W
2025/02/16 16:05:48.124, 63.33 W
2025/02/16 16:05:48.134, 63.33 W
2025/02/16 16:05:48.144, 63.33 W
2025/02/16 16:05:48.154, 63.33 W
2025/02/16 16:05:48.164, 63.33 W
2025/02/16 16:05:48.174, 63.33 W
2025/02/16 16:05:48.184, 63.33 W
2025/02/16 16:05:48.195, 63.33 W
2025/02/16 16:05:48.205, 63.33 W
2025/02/16 16:05:48.215, 63.33 W
2025/02/16 16:05:48.225, 63.33 W
2025/02/16 16:05:48.235, 63.33 W
2025/02/16 16:05:48.245, 63.33 W
2025/02/16 16:05:48.255, 63.33 W
2025/02/16 16:05:48.265, 63.33 W
2025/02/16 16:05:48.275, 63.33 W
2025/02/16 16:05:48.285, 63.33 W
2025/02/16 16:05:48.295, 63.33 W
2025/02/16 16:05:48.305, 63.33 W
2025/02/16 16:05:48.315, 63.33 W
2025/02/16 16:05:48.325, 63.33 W
