"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","3799129","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"0","3799129","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","l1tex__t_bytes.sum","Mbyte","7.39"
"0","3799129","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","lts__t_bytes.sum","Mbyte","9.69"
"0","3799129","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","smsp__sass_data_bytes.sum","","n/a"
"1","3799129","python3.11","127.0.0.1","void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, 0, float, float, float, 1, 1, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T9 *, T8 *, T5 *, const T6 *, const T6 *, const T10 *, const T4 *, T10 *, void *, long, T6 *, int *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *)","1","7","(32, 16, 1)","(8, 8, 1)","0","8.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"1","3799129","python3.11","127.0.0.1","void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, 0, float, float, float, 1, 1, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T9 *, T8 *, T5 *, const T6 *, const T6 *, const T10 *, const T4 *, T10 *, void *, long, T6 *, int *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *)","1","7","(32, 16, 1)","(8, 8, 1)","0","8.0","Command line profiler metrics","l1tex__t_bytes.sum","Mbyte","1.18"
"1","3799129","python3.11","127.0.0.1","void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, 0, float, float, float, 1, 1, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T9 *, T8 *, T5 *, const T6 *, const T6 *, const T10 *, const T4 *, T10 *, void *, long, T6 *, int *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *)","1","7","(32, 16, 1)","(8, 8, 1)","0","8.0","Command line profiler metrics","lts__t_bytes.sum","Mbyte","1.93"
"1","3799129","python3.11","127.0.0.1","void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, 0, float, float, float, 1, 1, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T9 *, T8 *, T5 *, const T6 *, const T6 *, const T10 *, const T4 *, T10 *, void *, long, T6 *, int *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *)","1","7","(32, 16, 1)","(8, 8, 1)","0","8.0","Command line profiler metrics","smsp__sass_data_bytes.sum","","n/a"
"2","3799129","python3.11","127.0.0.1","void at::vectorized_elementwise_kernel<4, at::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(64, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"2","3799129","python3.11","127.0.0.1","void at::vectorized_elementwise_kernel<4, at::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(64, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_bytes.sum","Kbyte","262.14"
