timestamp, power.draw [W]
2025/02/16 20:22:06.944, 61.28 W
2025/02/16 20:22:06.957, 61.28 W
2025/02/16 20:22:06.967, 61.28 W
2025/02/16 20:22:06.977, 61.28 W
2025/02/16 20:22:06.987, 61.28 W
2025/02/16 20:22:06.997, 61.28 W
2025/02/16 20:22:07.007, 61.28 W
2025/02/16 20:22:07.017, 61.28 W
2025/02/16 20:22:07.027, 61.28 W
2025/02/16 20:22:07.037, 61.28 W
2025/02/16 20:22:07.047, 61.28 W
2025/02/16 20:22:07.057, 61.28 W
2025/02/16 20:22:07.067, 61.28 W
2025/02/16 20:22:07.077, 61.28 W
2025/02/16 20:22:07.088, 61.28 W
2025/02/16 20:22:07.098, 61.28 W
2025/02/16 20:22:07.108, 61.28 W
2025/02/16 20:22:07.118, 61.28 W
2025/02/16 20:22:07.128, 61.28 W
2025/02/16 20:22:07.138, 61.28 W
2025/02/16 20:22:07.148, 61.28 W
2025/02/16 20:22:07.158, 61.35 W
2025/02/16 20:22:07.168, 61.35 W
2025/02/16 20:22:07.178, 61.35 W
2025/02/16 20:22:07.188, 61.35 W
2025/02/16 20:22:07.198, 61.35 W
2025/02/16 20:22:07.208, 61.35 W
2025/02/16 20:22:07.219, 61.35 W
2025/02/16 20:22:07.229, 61.35 W
2025/02/16 20:22:07.239, 61.35 W
2025/02/16 20:22:07.249, 61.35 W
2025/02/16 20:22:07.259, 61.28 W
2025/02/16 20:22:07.269, 61.28 W
2025/02/16 20:22:07.279, 61.28 W
2025/02/16 20:22:07.289, 61.28 W
2025/02/16 20:22:07.299, 61.28 W
2025/02/16 20:22:07.309, 61.28 W
2025/02/16 20:22:07.319, 61.28 W
2025/02/16 20:22:07.329, 61.28 W
2025/02/16 20:22:07.339, 61.28 W
2025/02/16 20:22:07.349, 61.28 W
2025/02/16 20:22:07.360, 61.28 W
2025/02/16 20:22:07.370, 61.28 W
2025/02/16 20:22:07.380, 61.28 W
2025/02/16 20:22:07.390, 61.28 W
2025/02/16 20:22:07.400, 61.28 W
2025/02/16 20:22:07.410, 61.28 W
2025/02/16 20:22:07.420, 61.28 W
2025/02/16 20:22:07.430, 61.28 W
2025/02/16 20:22:07.440, 61.28 W
2025/02/16 20:22:07.450, 61.28 W
2025/02/16 20:22:07.460, 61.28 W
2025/02/16 20:22:07.470, 61.28 W
2025/02/16 20:22:07.480, 61.28 W
2025/02/16 20:22:07.490, 61.28 W
2025/02/16 20:22:07.501, 61.28 W
2025/02/16 20:22:07.511, 61.28 W
2025/02/16 20:22:07.521, 61.28 W
2025/02/16 20:22:07.531, 61.28 W
2025/02/16 20:22:07.541, 61.28 W
2025/02/16 20:22:07.551, 61.28 W
2025/02/16 20:22:07.561, 61.28 W
2025/02/16 20:22:07.571, 61.28 W
2025/02/16 20:22:07.581, 61.28 W
2025/02/16 20:22:07.591, 61.28 W
2025/02/16 20:22:07.601, 61.28 W
2025/02/16 20:22:07.611, 61.28 W
2025/02/16 20:22:07.621, 61.28 W
2025/02/16 20:22:07.631, 61.28 W
2025/02/16 20:22:07.641, 61.28 W
2025/02/16 20:22:07.652, 61.28 W
2025/02/16 20:22:07.662, 61.28 W
2025/02/16 20:22:07.672, 61.28 W
2025/02/16 20:22:07.682, 61.28 W
2025/02/16 20:22:07.692, 61.28 W
2025/02/16 20:22:07.702, 61.28 W
2025/02/16 20:22:07.712, 61.28 W
2025/02/16 20:22:07.722, 61.28 W
2025/02/16 20:22:07.732, 61.28 W
2025/02/16 20:22:07.742, 61.28 W
2025/02/16 20:22:07.752, 61.28 W
2025/02/16 20:22:07.762, 61.28 W
2025/02/16 20:22:07.772, 61.28 W
2025/02/16 20:22:07.782, 61.28 W
2025/02/16 20:22:07.792, 61.28 W
2025/02/16 20:22:07.803, 61.28 W
2025/02/16 20:22:07.813, 61.28 W
2025/02/16 20:22:07.823, 61.28 W
2025/02/16 20:22:07.833, 61.28 W
2025/02/16 20:22:07.843, 61.28 W
2025/02/16 20:22:07.853, 61.28 W
2025/02/16 20:22:07.863, 61.28 W
2025/02/16 20:22:07.873, 61.28 W
2025/02/16 20:22:07.883, 61.28 W
2025/02/16 20:22:07.893, 61.28 W
2025/02/16 20:22:07.903, 61.28 W
2025/02/16 20:22:07.913, 61.28 W
2025/02/16 20:22:07.923, 61.28 W
2025/02/16 20:22:07.934, 61.28 W
2025/02/16 20:22:07.944, 61.28 W
2025/02/16 20:22:07.954, 61.28 W
2025/02/16 20:22:07.964, 61.28 W
2025/02/16 20:22:07.974, 61.28 W
2025/02/16 20:22:07.984, 61.28 W
2025/02/16 20:22:07.994, 61.28 W
2025/02/16 20:22:08.004, 61.28 W
2025/02/16 20:22:08.014, 61.28 W
2025/02/16 20:22:08.024, 61.28 W
2025/02/16 20:22:08.034, 61.28 W
2025/02/16 20:22:08.044, 61.28 W
2025/02/16 20:22:08.054, 61.28 W
2025/02/16 20:22:08.064, 61.28 W
2025/02/16 20:22:08.075, 61.28 W
2025/02/16 20:22:08.085, 61.28 W
2025/02/16 20:22:08.095, 61.28 W
2025/02/16 20:22:08.105, 61.28 W
2025/02/16 20:22:08.115, 61.28 W
2025/02/16 20:22:08.125, 61.28 W
2025/02/16 20:22:08.135, 61.28 W
2025/02/16 20:22:08.145, 61.28 W
2025/02/16 20:22:08.155, 61.28 W
2025/02/16 20:22:08.165, 61.28 W
2025/02/16 20:22:08.175, 61.28 W
2025/02/16 20:22:08.185, 61.28 W
2025/02/16 20:22:08.195, 61.28 W
2025/02/16 20:22:08.205, 61.28 W
2025/02/16 20:22:08.216, 61.28 W
2025/02/16 20:22:08.226, 61.28 W
2025/02/16 20:22:08.236, 61.28 W
2025/02/16 20:22:08.246, 61.28 W
2025/02/16 20:22:08.256, 61.28 W
2025/02/16 20:22:08.266, 61.28 W
2025/02/16 20:22:08.276, 61.28 W
2025/02/16 20:22:08.286, 61.28 W
2025/02/16 20:22:08.296, 61.28 W
2025/02/16 20:22:08.306, 61.28 W
2025/02/16 20:22:08.316, 61.28 W
2025/02/16 20:22:08.326, 61.28 W
2025/02/16 20:22:08.336, 61.28 W
2025/02/16 20:22:08.346, 61.28 W
2025/02/16 20:22:08.357, 61.28 W
2025/02/16 20:22:08.367, 61.28 W
2025/02/16 20:22:08.377, 61.28 W
2025/02/16 20:22:08.387, 61.28 W
2025/02/16 20:22:08.397, 61.28 W
2025/02/16 20:22:08.407, 61.28 W
2025/02/16 20:22:08.417, 61.28 W
2025/02/16 20:22:08.427, 61.28 W
2025/02/16 20:22:08.437, 61.28 W
2025/02/16 20:22:08.447, 61.28 W
2025/02/16 20:22:08.457, 61.28 W
2025/02/16 20:22:08.467, 61.28 W
2025/02/16 20:22:08.477, 61.28 W
2025/02/16 20:22:08.488, 61.28 W
2025/02/16 20:22:08.498, 61.06 W
2025/02/16 20:22:08.508, 61.06 W
2025/02/16 20:22:08.518, 61.06 W
2025/02/16 20:22:08.528, 61.06 W
2025/02/16 20:22:08.538, 61.06 W
2025/02/16 20:22:08.548, 61.06 W
2025/02/16 20:22:08.558, 61.06 W
2025/02/16 20:22:08.568, 61.06 W
2025/02/16 20:22:08.578, 61.06 W
2025/02/16 20:22:08.588, 61.06 W
2025/02/16 20:22:08.598, 61.28 W
2025/02/16 20:22:08.608, 61.28 W
2025/02/16 20:22:08.618, 61.28 W
2025/02/16 20:22:08.628, 61.28 W
2025/02/16 20:22:08.639, 61.28 W
2025/02/16 20:22:08.649, 61.28 W
2025/02/16 20:22:08.659, 61.28 W
2025/02/16 20:22:08.669, 61.28 W
2025/02/16 20:22:08.679, 61.28 W
2025/02/16 20:22:08.689, 61.28 W
2025/02/16 20:22:08.699, 61.28 W
2025/02/16 20:22:08.709, 61.28 W
2025/02/16 20:22:08.719, 61.28 W
2025/02/16 20:22:08.729, 60.99 W
2025/02/16 20:22:08.739, 60.99 W
2025/02/16 20:22:08.749, 60.99 W
2025/02/16 20:22:08.759, 60.99 W
2025/02/16 20:22:08.769, 60.99 W
