timestamp, power.draw [W]
2025/02/16 15:57:27.128, 63.04 W
2025/02/16 15:57:27.139, 63.04 W
2025/02/16 15:57:27.149, 63.04 W
2025/02/16 15:57:27.159, 63.04 W
2025/02/16 15:57:27.169, 63.04 W
2025/02/16 15:57:27.179, 63.04 W
2025/02/16 15:57:27.189, 62.97 W
2025/02/16 15:57:27.200, 62.97 W
2025/02/16 15:57:27.210, 62.97 W
2025/02/16 15:57:27.220, 62.97 W
2025/02/16 15:57:27.230, 62.97 W
2025/02/16 15:57:27.240, 62.97 W
2025/02/16 15:57:27.250, 62.97 W
2025/02/16 15:57:27.260, 62.97 W
2025/02/16 15:57:27.270, 62.97 W
2025/02/16 15:57:27.280, 62.97 W
2025/02/16 15:57:27.290, 63.04 W
2025/02/16 15:57:27.300, 63.04 W
2025/02/16 15:57:27.310, 63.04 W
2025/02/16 15:57:27.320, 63.04 W
2025/02/16 15:57:27.330, 63.04 W
2025/02/16 15:57:27.340, 63.04 W
2025/02/16 15:57:27.351, 63.04 W
2025/02/16 15:57:27.361, 63.04 W
2025/02/16 15:57:27.371, 63.04 W
2025/02/16 15:57:27.381, 63.04 W
2025/02/16 15:57:27.391, 63.04 W
2025/02/16 15:57:27.401, 63.04 W
2025/02/16 15:57:27.411, 63.04 W
2025/02/16 15:57:27.421, 63.04 W
2025/02/16 15:57:27.431, 63.04 W
2025/02/16 15:57:27.441, 63.04 W
2025/02/16 15:57:27.451, 63.04 W
2025/02/16 15:57:27.461, 63.04 W
2025/02/16 15:57:27.471, 63.04 W
2025/02/16 15:57:27.481, 63.04 W
2025/02/16 15:57:27.491, 63.04 W
2025/02/16 15:57:27.502, 63.04 W
2025/02/16 15:57:27.512, 63.04 W
2025/02/16 15:57:27.522, 63.04 W
2025/02/16 15:57:27.532, 63.04 W
2025/02/16 15:57:27.542, 63.04 W
2025/02/16 15:57:27.552, 63.04 W
2025/02/16 15:57:27.562, 63.04 W
2025/02/16 15:57:27.572, 63.04 W
2025/02/16 15:57:27.582, 63.04 W
2025/02/16 15:57:27.592, 63.04 W
2025/02/16 15:57:27.602, 63.04 W
2025/02/16 15:57:27.612, 63.04 W
2025/02/16 15:57:27.622, 63.04 W
2025/02/16 15:57:27.632, 63.04 W
2025/02/16 15:57:27.643, 63.04 W
2025/02/16 15:57:27.653, 63.04 W
2025/02/16 15:57:27.663, 63.04 W
2025/02/16 15:57:27.673, 63.04 W
2025/02/16 15:57:27.683, 63.04 W
2025/02/16 15:57:27.693, 63.11 W
2025/02/16 15:57:27.703, 63.11 W
2025/02/16 15:57:27.713, 63.11 W
2025/02/16 15:57:27.723, 63.11 W
2025/02/16 15:57:27.733, 63.11 W
2025/02/16 15:57:27.743, 63.11 W
2025/02/16 15:57:27.753, 63.11 W
2025/02/16 15:57:27.763, 63.11 W
2025/02/16 15:57:27.773, 63.11 W
2025/02/16 15:57:27.784, 63.11 W
2025/02/16 15:57:27.794, 63.11 W
